A:LS:LC,A:LS:MC,A:MS:MC,A:HS:MC,A:LS:HC,A:HS:HC,A:MS:HC,A:MS:LC,A:HS:LC
85.45,160.26,185.015,166.575,319.445,373.89,344.64,74.235,77.475
87.14,163.105,185.485,166.89,320.27,379.655,348.325,74.77,78.34
83.89,168.32,188.24,167.19,319.19,378.425,342.74,73.985,79.475
86.46,165.35,186.47,166.785,329.605,379.72,339.125,74.205,78.145
86.63,165.905,182.615,167.01,323.33,373.6,342.66,73.83,78.02
86.785,163.65,184.62,169.82,315.06,378.71,338.635,72.4,79.535
85.265,162.72,185.01,169.04,322.245,376.705,346.21,73.725,80.02
84.845,166.33,185.415,166.695,325.775,373.03,351.675,73.235,77.6
85.585,165.99,183.775,167.665,327.87,379.765,342.925,75.725,79.985
86.54,162.875,188.105,166.01,321.43,376.91,338.27,73.955,78.795
86.48,165.07,186.815,169.295,325.475,380.48,337.425,74.675,79.545
86.065,164.155,185.42,169.915,321.9,379.135,339.68,71.88,78.16
85.435,163.91,185.225,165.285,326.19,383.73,342.335,74.705,79.68
86.52,163.14,191.15,165.725,307.73,376.505,335.92,73.09,80.54
84.82,158.72,186.7,169.18,316.98,373.73,340.06,75.185,80.525
85.97,164.48,185.67,164.81,328.135,376.02,333.395,73.95,78.86
85.125,166.015,184.075,167.285,322.19,375.365,344.28,74.515,80.085
83.945,159.16,188.065,169.65,317.335,375.895,340.495,73.125,79.665
85.175,165.71,181.025,169.18,323.29,377.725,343.865,74.995,79.26
86.25,163.065,188.455,169.49,321.74,377.825,341.12,74.505,79.35
86.175,164.715,185.35,170.28,322.115,378.57,340.94,74.13,79.64
84.83,163.375,187.955,167.51,324.815,370.24,344.71,76.765,80.33
87.15,163.085,187.12,166.005,322.09,375.455,335.865,74.015,79.4
85.515,163.83,186.655,167.585,319.485,370.92,333.2,73.97,78.66
84.71,165.615,186.17,167.215,323.44,381.615,339.935,74.42,79.68
85.315,159.09,186.16,165.49,324.495,368.745,337.95,75.37,80.01
82.72,161.835,185.74,166.95,325.43,387.375,329.32,76,79.68
84.48,161.6,185.6,169.36,320.56,385.03,337.02,73.915,80.29
84,162.09,184.48,166.805,312.49,378.2,342.72,75.79,79.55
86.12,168.805,185.025,167.585,329.3,385.48,340.48,74.45,79.235
85.45,157.865,184.825,166.215,323.415,378.245,338.7,73.39,79.295
85.2,159.285,189.41,167.15,321.415,375.005,339.83,74.405,78.045
84.2,165.55,186.99,168.325,327,381.765,341.005,74.125,77.535
85.15,160.195,183.575,169.46,324.035,365.475,341.39,73.25,80.29
82.95,162.7,187.735,169.865,326.4,377.655,338.71,75.57,79.84
86.945,157.92,187.065,168.13,315.33,381.805,336.83,72.17,79.625
81.985,159.035,181.94,168.34,314.705,381.16,339.695,73.365,78.68
82.06,158.935,185.22,166.16,323.385,371.37,346.325,72.53,78.47
83.535,159.91,182.235,169.05,311.99,378.825,331.125,72.455,80.605
83.4,160.36,181.385,170.125,324.44,378.435,334.075,74.055,80.45
83.945,159.685,182.975,168.015,317.715,365.44,339.565,73.105,79.385
82.335,159.715,182.6,163.09,316.1,379.865,341.71,74.76,77.35
84.005,159.19,181.46,166.925,325.29,377.485,335.845,72.77,78.46
84.69,161.525,184.4,169.11,321.275,384.53,337.07,74.38,78.015
85.255,159.3,183.89,164.8,320.715,380.615,336.055,73.045,79.545
83.71,161.78,187.395,165.3,316.575,370.52,341.215,74.775,79.77
85.235,158.865,186.84,165.175,323.77,379.925,335.8,75.96,79.28
83.765,157.235,186.135,167.51,317.375,369.785,335.405,73.725,80.3
83.655,161.345,187.38,167.27,320.115,376.11,340.595,74.01,78.275
82.75,161.62,184.76,170.395,320.095,376.93,338.86,73.6,78.505
84.085,163.75,183.21,164.62,318.555,372.88,337.405,74.12,77.865
82.87,157.125,186.455,169.06,322.395,372.795,336.07,73.255,77.4
83.025,158.81,182.335,168.22,325.19,373.085,335.545,74.135,78.81
83.72,154.62,183.615,166.06,309.925,376.25,337.755,72.79,78.06
82.635,158.655,183.795,170.03,319.805,375.8,332.995,74.905,77.885
82.185,160.61,185.08,166.075,316.82,369.745,339.93,73.27,79.43
83.215,157.395,186.05,166.11,314.855,376.735,335.13,73.11,77.93
82.72,158.555,183.105,164.67,315.06,380.925,334.325,74.685,79.84
84.37,159.455,185.97,166.185,329.325,370.965,338.005,72.52,76.215
82.66,160.1,183.875,170.12,327.11,372.57,337.18,72.875,78.385
82.81,160.035,187.225,167.435,317.795,374.625,340.86,73.555,78.245
83.115,162.35,184.25,167.225,314.445,370.035,325.335,75.025,78.08
84.365,159.265,183.51,167.025,324.44,368.835,344.045,74.125,77.605
83.8,157.23,180.91,165.55,324.74,378.75,335.845,73.095,78.065
84.205,162.865,184.265,165.655,314.375,377.225,333.325,73.78,79.14
81.515,159.52,184.825,167.405,312.4,376.255,338.27,71.115,79.695
82.275,158.42,183.675,168.395,308.53,375.27,331.83,71.56,77.185
82.18,155.995,181.22,164.11,312.435,377.79,336.755,72.385,79.72
81.675,156.785,182.08,163.39,314.55,379.51,337.795,72.555,78.155
82.945,158.92,182.97,165.645,309.955,374.82,337.855,73.385,78.215
81.135,157.935,180.675,169.645,314.77,376.04,326.485,72.745,79.57
82.245,160.14,182.095,165.95,324.95,386.185,332.665,71.205,78.83
82.305,159.73,182.06,168.205,320.84,371.695,333.945,72.01,78.445
82.7,162.775,180.48,167.9,321.22,371.645,333.705,72.265,77.68
83.33,160.66,181.02,167.775,321.83,379.305,337.725,72.48,78.435
81.95,161.795,184.22,166.04,320.105,377.05,334.4,72.81,77.275
82.87,158.235,180.19,165.24,320.62,375.085,331.2,71.32,77.165
81.21,160.99,181.49,166.895,315.29,378.17,338.78,70.72,78.225
82.165,159.26,184.845,168.145,308.89,376.91,336.74,73.39,77.475
82.645,157.55,183.49,166.015,309.44,376.8,332.15,71.415,77.155
82.445,162.81,182.905,166.51,308.455,372.045,338.42,72.38,78.47
81.34,162.495,179.96,165.545,311.265,366.675,333.305,73.205,79.035
81.72,157.3,182.16,164.53,319.105,373.475,337.83,72.165,79.32
81.26,160.735,182.78,163.19,313.695,374.57,338.17,73.335,78.825
81.815,161.835,180.715,164.36,314.075,366.51,336.15,71.82,76.8
81.71,162.36,182.8,166.825,311.72,367.14,328.775,72.435,78.015
82.52,156.94,181.465,164.49,311.37,370.375,333.94,74.71,80.135
81.525,156.325,180.265,164.32,313.535,370.8,339.57,70.525,77.065
81.31,162.09,183.01,164.565,312.02,385.59,336.505,72.525,78.245
80.5,158.645,181.52,167.025,318.945,376.545,335.24,71.24,78.96
80.58,164.615,181.525,167.695,314.5,370.925,335.83,71.565,78.44
80.755,155.665,181.09,166.75,314.995,367.8,333.875,72.68,77.435
81.66,160.67,183.285,166.47,316.99,370.06,337.56,72.765,77.6
80.615,159.355,182.975,168.525,310.89,369.055,333.71,73,78.35
82.795,158.835,181.71,165.555,315.75,371.32,325.945,72.265,77.49
82.67,161.12,183.835,166.39,309.675,369.935,333.17,73.315,77.825
81.69,158.375,182.825,167.4,314.1,368.09,332.675,72.375,79.555
79.255,159.91,182.015,166.34,310.715,372.7,326.245,72.495,78.105
82.79,158.385,184.94,163.55,313.07,370.43,338.85,73.2,78.18
80.55,157.605,181.225,165.87,314.67,374.045,326.78,72.06,78.025
81.275,158.74,180.705,165.665,319.225,379.06,331.945,72.29,78.54
80.34,159.87,179.345,165.255,319.115,373.46,338.51,71.1,77.25
81.28,160.915,179.355,164.525,316.995,366.02,338.57,71.58,77.835
81.285,157.555,181.025,169.205,322.95,370.345,339.71,70.8,78.28
81.435,159.095,182.815,166.175,313.965,375.715,333.935,71.82,77.795
81.42,156.935,181.96,168.07,312.725,365.765,333.525,72.05,77.995
80.355,157.21,181.22,169.29,311.88,366.865,327.855,73.13,77.005
82.87,155.3,178.825,167.415,300.695,380.16,335.78,71.84,76.155
79.725,158.775,181.59,168.275,314.915,371.54,326.175,71.76,78.355
81.72,156.765,182.815,167.005,311.39,369.17,341.585,71.94,79.66
81.775,159.25,184.255,165.78,314.77,378.24,330.28,71.65,76.47
80.715,157.735,180.4,163.555,314.16,373.525,331.685,70.785,77.56
