SG:HS:LC,SG:LS:LC,SG:MS:LC,SG:LS:MC,SG:MS:MC,SG:HS:MC,SG:LS:HC,SG:MS:HC,SG:HS:HC,SG:VHS:LC,SG:VHS:MC,SG:VHS:HC
66.425,65.395,67.16,141.13,151.01,144.1,289.105,295.71,290.395,63.21,148.82,298.565
65.365,65.58,65.665,142.86,150.635,146.5,289.135,291.84,293.835,64.74,147.62,292.26
65.295,66.395,65.14,141.77,148.325,142.82,291.89,294.125,296.115,64.1,147.745,291.125
63.815,67.095,65.87,141.165,149.83,144.27,295.71,290.755,289.175,64.005,147.98,293.28
63.945,65.94,66.435,143.165,149.045,144.245,290.54,290.08,290.15,63.97,148.895,294.365
66.065,66.81,65.93,142.535,149.54,143.515,299.24,288.175,284.35,63.21,147.775,293.76
66.365,63.855,67.38,141.33,149.755,141.445,296.255,297.655,289.71,64.635,147.51,292.97
64.915,65.125,66.77,137.725,148.21,143.925,288.715,287.29,291.24,63.115,147.305,285.52
64.69,65.58,66.655,137.4,145.61,145.89,288.765,287.62,290.71,63.93,148.25,285.395
65.32,63.77,65.91,141.83,146.98,143.025,285.255,295.815,287.495,63.03,147.49,289.58
64.345,63.945,66.95,140.645,147.77,143.09,286.425,286.925,287.775,64.045,144.88,295.65
64.74,66.34,67.135,139.245,144.465,144.395,289.06,288.005,286.315,63.095,146.735,287.75
62.67,66.825,65.215,139.59,145.33,140.965,299.055,288.3,282.935,63.57,147.39,283.4
64.725,63.985,65.435,139.25,144.425,144.23,289.42,290.63,285.09,64.1,144.75,290.1
65.54,65.42,65.425,138.505,146.495,141.015,285.81,292.55,291.355,63.705,149.46,287.28
65.12,65.17,64.215,139.73,147.815,142.11,292.015,291.015,290.715,63.035,148.38,286.695
65.63,64.675,65.62,140.22,146.42,145.58,283.6,290.865,282.475,62.89,148.865,293.465
64.505,63.525,64.22,140.775,143.055,145.61,296.605,284.57,281.895,62.985,145.715,288.735
64.775,63.545,64.175,135.705,145.075,140.94,292.635,289.775,293.165,63.57,146.53,287.155
63.615,63.085,63.75,138.635,144.21,144.345,290.49,288.04,286.31,63.565,146.62,287.64
63.975,64.225,64.41,136.075,144.59,142.49,293.55,282.91,282.27,63.485,143.46,287.175
63.68,66.08,65.875,134.86,145.24,143.095,287.035,286.83,274.87,61.705,144.81,289.505
63.91,63.745,63.84,135.42,144.505,141.325,290.395,290.025,274.615,61.86,145.005,293.415
63.195,63.45,65.82,137.97,144.38,142.975,288.895,286.45,280.88,61.015,145.3,287.175
63.155,63.83,63.945,137.43,146.62,141.105,283.835,284.64,283.04,63.015,143.155,288.715
63.815,64.835,65.405,137,142.225,137.985,280.745,287.475,283.34,61.26,143.17,284.05
63.4,65.055,63.875,136.5,141.08,138.19,284.425,283.63,280.195,61.535,144.39,292.785
62.83,63.765,64.48,138.98,143.375,141.83,283.055,281.675,277.235,62.465,143.725,284.335
61.975,63.15,64.995,137.065,145.58,141.315,281.045,287.49,279.665,62.065,142.47,281.795
63.84,64.67,64.855,133.075,143.555,140.915,282.52,281.85,280.95,62.195,142.98,284.99
64.375,65.635,63.66,135.5,147.5,140.655,281.615,277.75,276.895,61.705,141.255,287.16
62.16,63.63,64.395,133.625,145.665,141.52,285.195,286.09,284.165,60.225,145.265,283.59
63.26,62.12,64.35,138.32,141.375,139.635,283.245,284.05,280.84,60.73,143.49,279.725
63.045,63.54,62.51,136.165,146.24,144.26,287.33,283.995,279.305,62.645,144.235,282.09
62.685,62.655,64.925,133.025,141.31,136.44,283.92,288.985,276.785,60.8,141.28,279.92
62.77,63.605,63.205,133.435,143.705,137.39,286.47,281.47,283.56,64.08,145.235,281.545
63.065,63.81,65.555,135.895,138.605,143.93,294.095,278.87,285.66,61.125,144.56,276.155
62.33,64.115,65.965,135.15,141.01,141.645,282.075,283.655,277.245,62.29,140,283.565
64.425,62.02,61.795,134.78,140.42,137.395,285.105,282.19,272.645,60.595,140.765,283.825
63.54,62.615,61.6,133.925,141.205,139.985,277.68,283.005,276.21,60.9,141.075,281.86
61.93,61.905,63.945,132.735,147.135,137.55,280.77,284.265,273.72,60.945,140.68,280.53
62.655,62.52,63.065,134.715,140.93,135.015,287.97,281.235,274.365,61.165,144.36,280.82
60.73,61.765,62.97,133.225,140.84,138.875,274.755,281.81,275.225,61.72,141.185,281.58
61.875,62.265,61.945,135.62,139.53,136.06,288.905,281.865,278.69,60.76,141.36,282.81
61.705,62.565,64.33,135.45,141.075,138.96,285.83,280.955,281.595,61.465,142.125,282.58
62.93,62.02,62.255,136.02,142.04,140.305,278.225,275.96,279,60.68,143.515,280.745
63.37,62.545,62.445,137.505,139.155,141.115,273.835,277.955,278.86,59.275,143.475,283.36
61.43,60.84,64.05,135.96,144.715,138.615,272.545,274.905,278.36,60.745,141.01,278.905
61.325,61.495,62.545,134.95,143.29,138.92,278.89,280.54,273.505,61.595,140.275,277.665
63.84,60.09,62.585,133.775,142.825,135.77,273.75,281.945,275.28,61.555,139.935,277.04
60.72,62.01,63.19,132.965,139.15,139.355,279.86,277.61,275.655,60.45,142.165,281.8
61.345,61.585,63.545,130.77,142.725,139.095,282.9,282.935,275.55,60.205,142.675,276.065
61.83,60.645,60.645,128.885,142.15,137.42,277.375,280.735,273.95,60.68,140.89,283.74
61.41,61.57,63.94,130.635,138.94,136.595,283.05,277.245,272.25,59.97,141.3,279.585
61.545,62.335,62.445,129.98,137,136.97,274.265,273.79,275.665,59.77,142.365,277.34
61.945,61.51,63.83,136.84,141.425,136.235,272.79,277.56,271.02,61.85,143.685,278.05
62.295,61.73,61.775,131.885,139.82,138.2,277.055,273.965,276.48,60.89,138.385,275.33
62.165,62.525,62.91,132.68,141.815,136.595,274.035,273.875,272.18,60.285,135.31,274.285
61.975,62.03,62.94,134.075,140.08,138.57,275.975,274.585,275.23,59.03,139.86,277.34
