G:LS:LC,G:MS:LC,G:HS:LC,G:LS:MC,G:MS:MC,G:HS:MC,G:LS:HC,G:MS:HC,G:VHS:HC*,G:VHS:LC,G:VHS:MC,G:VHS:HC
58.76451199,55.83724632,58.8,134.635,127.48,115.83,265.085,257.045,255.16,58.24,129.24,255.44
58.89616055,54.84151105,58.23,137.575,126.63,115.58,271.815,260.9,258.27,57.94,130.495,250.045
58.49915059,55.30767175,60.085,138.84,128.935,113.775,268.92,259.095,258.275,58.815,130.25,249.53
56.80090607,56.14181886,58.455,135.25,129.665,115.905,271.375,255.77,261.2,56.32,128.525,249.35
58.19519901,54.44208039,59.57,136.055,127.015,112.89,273.515,252.2,259.525,57.02,129.48,248.98
58.51526528,54.40070141,59.645,135,126.905,112.465,271.71,253.035,260.48,58.785,129.455,250.4
56.85928983,56.81257543,59.925,136.41,130.02,112.505,275.295,255.46,258.67,57.105,130.63,249
59.03079837,53.84820862,59.32,136.455,126.96,112.765,262.285,246.76,255.185,56.32,131.125,254.755
59.1092357,54.01204003,57.77,133.72,126.61,114.08,257.89,249.625,253.705,57.915,127.77,247.21
59.61154602,54.90368504,58.36,136.47,128.375,114.76,261.42,253.255,255.59,57.305,130.095,247
59.3830549,53.39680054,58.52,134.19,125.62,114.61,272.015,251.635,254.35,55.84,126.445,249.94
57.31612153,52.93429518,56.76,133.04,124.725,114.295,261.535,246.695,253.05,56.6,129.475,248.7
56.21295528,54.4278607,57.365,133.87,126.055,111.32,268.205,251.305,254.28,56.82,127.355,248.46
57.1088185,52.48502914,57.57,132.745,126.54,112.36,275.31,251.195,259.71,56.945,130.41,245.67
58.56152417,53.99343791,56.775,134.39,126.9,110.235,266.26,255.095,257.215,56.71,127.62,245.535
56.66184513,54.19228764,59.62,132.815,123.69,108.125,255.81,244.77,256.18,55.64,127.755,241.645
57.57689964,53.62107648,56.92,131.835,125.375,110.675,264.37,246.095,251.76,56.375,126.1,244.355
56.52391268,53.55251102,57.225,134.24,126.32,110.135,265.495,249.455,250.99,57.575,126.945,242.95
57.9045913,53.55305515,58.295,134.65,127.635,109.195,260.745,244.255,251.715,56.375,130.06,241.58
55.79510057,53.02285349,55.81,129.9,122.74,111.385,262.005,246.88,252.06,55.72,124.56,244.23
56.86889155,53.26177632,57.33,130.67,123.94,110.34,260.195,246.55,249.035,55.58,125.55,242.92
56.02592958,53.68383402,57.555,132.605,121.085,110.845,268.975,243.39,252.21,55.66,127.465,241.795
55.83760275,52.70564536,57.3,131.07,123.73,108.415,255.075,244.15,245.205,55.045,129.405,243.53
57.26766721,51.46974535,56.785,128.885,122.55,109.855,258.845,246.67,248.195,55.8,127.955,238.445
56.35467211,51.83244693,55.855,131.175,124.05,108.455,255.14,243.885,248.025,55.445,122.87,241.335
56.37216439,51.58078262,56.375,126.89,123.845,109.7,261.95,249.19,250.16,54.64,125.295,240.84
57.68696612,52.97825217,55.455,130.5,124.505,108.32,261.72,248.82,246.07,54.44,124.755,237.625
54.99900379,51.57843558,55.555,130.165,120.795,109.785,256.94,245.04,244.685,57.04,126.46,237.775
55.3855197,51.01595186,56.375,128.54,118.895,110.24,263.795,239.965,247.035,55.56,123.4,237.675
54.98636366,51.47290695,56.2,129,122.78,107.26,260.505,236.07,246.73,54.02,123.435,234.755
55.88440445,51.96495434,56.25,130.17,121.62,108.025,256.36,246.235,245.11,55.485,125.98,241.605
56.22531637,53.16808221,55.31,130.21,123.935,108.18,252.855,238.11,244.495,54.66,124.365,237.34
55.45856167,52.86805067,56.285,127.365,123.9,106.435,258.465,239.86,242.65,54.185,123.205,237.7
55.35176323,50.30407485,54.91,128.9,123.335,107.14,251.35,238.17,244.85,54.495,121.595,239.26
55.71714397,50.96538231,55.44,130.81,118.8,108.85,254.095,247.24,241.44,54.46,123.635,236.41
54.59396467,51.38449167,55.225,131.485,119.915,108.6,252.47,238.75,250.29,54.765,125.675,237.39
